sample_id,P10145,Q07011,Q02763,P80098,P29965,P01583,Q9BZW8,P01133,Q15389,P13232,P49763,P05231,Q9Y653,P13500,O95727,O14625,Q99616,P50591,P09038,Q07325,P01732,Q16790,Q8WXI7,P00813,P01730,P29474,P60568,O00182,P35968,P25942,Q14116,P20718,P43629,P01137,P09341,O43557,O95760,O43508,P01127,Q15116,P48023,P10747,Q99731,P80075,P13236,P40933,P09382,Q9NZQ7,P26842,P42830,P05113,P14210,P12544,P09601,P78423,P02778,P32970,P22301,Q9NP84,P55773,P06127,P10147,P09237,P05089,O76036,P07585,O75509,P43489,"Q29983,Q29980",Q92583,O15123,P21246,P48061,P01579,Q9UQV4,Q14790,O75144,P39900,O43927,Q9BQ51,P15692,P05112,P18627,P42701,P35225,P78556,P01375,Q13241,P10144,Q01151,"P29459,P29460",P09603,Unnamed: 93,Unnamed: 94
R21043046,4.81006,6.06655,7.35645,2.00951,7.06728,-1.82051,6.11358,9.48311,8.88899,4.47678,6.5284,2.39681,1.50105,10.35335,6.36427,9.14618,9.55102,7.72159,2.54865,9.13413,9.44715,3.97749,0.7652,5.49265,3.49253,2.42404,0.08798,7.31203,7.28274,9.57389,8.18957,5.77957,0.88233,9.23215,9.22406,4.97636,0.77439,8.56329,10.38652,5.63259,6.55899,1.0761,8.65874,7.82418,6.65851,3.47497,6.63833,5.02513,7.72632,10.89386,1.02996,8.2377,7.02979,10.00245,6.14135,11.3431,3.50557,3.42539,3.66332,9.96845,5.11023,5.93097,8.49462,3.32982,3.25602,3.4524,7.07565,5.60771,3.87387,10.69298,5.09141,3.3452,0.80277,6.1482,5.79433,5.64062,5.31671,6.89169,8.01767,2.18365,7.90127,1.22938,2.45429,1.86407,2.13785,7.25243,3.53127,6.6989,5.00412,3.27519,7.51584,9.31891,plate1_1362562541.csv,Pass
R21043048,9.50317,6.17343,7.65259,2.75044,6.77972,-2.23283,5.89029,10.0102,9.36959,4.69302,7.56843,3.9859,1.57586,11.94892,4.42611,9.10829,10.01988,7.50411,3.1134,9.01557,8.74875,4.9381,3.68602,4.83599,3.71785,2.48541,0.13717,7.87936,7.50857,10.00721,8.48482,4.78845,1.32496,9.29732,9.74293,5.27143,0.58939,8.41251,10.68089,4.48561,4.43234,0.3225,9.24476,8.80476,8.19415,4.54256,6.9446,5.13301,7.93896,11.18475,0.22533,8.93465,5.29313,9.20677,7.57045,10.58884,4.31288,3.5482,4.60896,10.54193,4.82777,6.79275,4.92252,3.12182,2.50091,3.38249,7.12501,5.59969,5.29804,10.20994,6.51114,4.16963,0.91611,6.34356,5.11797,5.34298,5.9928,10.86856,8.2276,2.88729,9.03429,0.22472,1.71766,0.9811,1.45983,8.98423,2.46593,5.04576,4.15889,2.63967,6.50511,9.67289,plate1_1362562541.csv,Pass
R21043050,6.93244,4.52606,7.47829,1.45635,7.30453,-2.34402,5.09771,9.58753,9.94922,4.4633,6.64362,1.98372,1.02265,11.54318,4.40428,7.9519,9.88578,6.98553,2.26278,6.75261,7.85788,3.66471,0.14132,4.131,2.88177,1.34066,-0.52631,6.96157,7.46462,8.31962,7.45125,4.39931,0.49698,9.29996,8.63318,4.81988,0.57879,8.2925,10.30418,3.05032,5.21339,0.24066,7.301,8.0699,6.49487,3.74479,6.02943,4.0462,6.70479,10.21684,0.43784,8.50976,5.98307,9.94071,5.9006,8.48812,2.25969,1.92045,2.8544,9.88344,4.21851,5.03471,9.4735,2.23356,2.30188,3.10453,6.74176,4.11561,0.24834,9.55602,4.92271,1.74511,0.81114,4.32702,4.63153,4.37995,4.89866,8.26949,7.41341,1.57697,7.636,0.30028,1.61831,1.14619,0.31196,5.59225,1.46029,4.55238,4.5345,1.67718,4.51535,8.90054,plate2_1362562385.csv,Pass
R21043052,5.37743,5.82171,7.0528,1.96501,4.64334,-2.36068,5.65318,7.41323,7.43432,2.78685,7.28052,1.73908,1.7423,10.58657,5.1488,8.04112,8.60661,7.45198,1.29393,7.65297,8.11722,4.67583,2.56747,4.77389,3.03699,2.03135,-0.24481,7.98679,7.38279,9.1358,8.43333,7.04207,1.72081,7.68458,7.62426,4.24342,0.59912,8.18735,9.30569,4.83556,5.84979,0.41748,8.13068,7.45647,6.67827,3.91487,6.59499,4.99033,7.60501,8.68793,0.61467,8.67558,6.51702,10.41705,6.30228,10.17334,2.75361,2.11263,3.3306,9.06339,4.68089,5.54095,8.24038,4.36521,3.24208,3.3998,7.26609,5.44897,5.03838,8.76608,4.47961,2.37337,0.85209,5.0188,5.25026,4.45867,4.85879,7.66742,7.82751,1.92306,7.06427,0.42037,1.58032,1.49942,0.22717,6.42067,2.26626,5.50549,6.69391,2.78382,6.70793,9.27941,plate1_1362562541.csv,Pass
R21043054,4.24672,4.94176,6.81187,1.57245,5.25781,-2.93994,5.15167,8.42844,7.87437,3.4089,6.49361,1.13324,0.89853,10.13503,4.78946,8.02647,8.6509,7.24018,1.60055,6.78004,8.44293,3.81947,1.01081,3.84944,2.65549,1.29897,-0.48558,7.14366,7.19867,8.55388,7.8856,3.91445,1.43704,7.76328,7.96114,3.33366,0.24448,8.20361,9.35013,3.72544,5.30285,0.17333,7.63467,7.49584,5.18463,3.55871,5.88565,4.31885,6.71465,9.74644,0.13741,7.66138,5.68154,10.40168,5.5886,9.10227,2.5072,2.28828,3.12422,9.62056,3.95903,5.15938,8.76178,1.67625,2.51345,3.21947,6.72696,4.43415,4.08777,8.35847,4.71496,1.40907,0.4323,4.48162,4.01586,3.45779,4.62458,6.70262,6.95143,1.49035,7.42278,-0.07427,1.50207,0.85742,0.55062,6.39277,1.61383,5.58426,3.78612,2.09054,6.03059,8.69005,plate1_1362562541.csv,Pass
R21043056,4.94333,5.44666,6.82805,0.78073,5.76598,-2.6956,5.54912,8.36796,8.18138,3.58241,7.15194,2.22811,0.94082,10.71796,4.20921,8.09073,8.61716,7.62481,2.02313,7.44187,8.19653,4.15681,0.0618,4.25681,3.03763,1.50713,-0.46517,7.64767,7.20579,9.45457,7.86936,4.63529,1.14176,8.31265,8.82573,3.5342,0.55815,8.27571,9.41069,3.43848,5.51959,0.37246,9.09907,6.56187,6.40725,4.00699,6.45219,4.75323,7.31375,10.42664,-0.05474,8.18025,6.06444,10.20859,5.5891,9.33706,2.62969,3.00096,4.18,9.63577,4.62904,5.38095,10.14994,2.17012,3.07187,3.46687,6.911,5.23074,3.04029,8.97877,4.15362,1.87992,0.29696,5.12758,4.07157,3.3153,4.90043,6.85836,7.91666,1.45793,7.58051,-0.08183,1.46658,0.90858,0.35173,7.39959,2.45217,5.47692,4.81286,2.03306,7.12243,9.21875,plate1_1362562541.csv,Pass
R21043058,3.63243,5.46223,7.02192,0.92779,4.37154,-2.64533,5.53539,7.30655,7.07701,2.85203,7.65642,3.25943,1.4151,10.17517,5.31395,7.40768,7.26824,7.50473,1.21255,6.41766,7.0151,3.06514,0.01434,4.96171,3.1907,1.72234,-0.02271,7.70113,7.46359,9.14298,8.209,4.55716,0.03803,7.64213,7.04292,3.32558,0.40691,8.25908,8.10137,3.59607,4.13184,0.55298,8.00434,6.30392,6.20077,3.83982,6.79948,4.78076,7.12663,7.7004,0.86745,7.842,5.70997,11.0428,6.43932,9.42359,3.52002,2.43562,3.22815,8.78964,4.47501,5.48123,9.09019,1.75045,3.14365,3.85015,7.55072,6.20893,3.49539,8.05989,4.81695,4.06784,0.93574,6.29565,5.87933,3.95399,5.40128,5.92944,6.53851,1.85344,7.39694,0.17173,1.58142,1.5959,0.44235,5.99579,2.37687,5.92158,4.22535,2.69392,6.48442,9.34918,plate1_1362562541.csv,Pass
R21043060,4.60498,5.41064,7.22027,1.61986,7.24417,-1.68224,6.12256,9.73391,9.06554,5.13739,7.12727,6.36939,2.47402,10.29749,4.80123,9.63558,8.66459,7.40745,3.20393,7.18407,7.85903,3.625,0.56321,4.63668,3.52077,2.20934,-0.30464,8.06526,7.38341,10.03523,8.43971,4.97035,1.68282,9.14865,9.9024,4.8524,0.49286,8.16296,10.37499,3.68445,4.75803,0.34896,8.0206,7.49827,6.07633,3.5866,7.04168,5.03935,7.25401,10.91335,1.26869,8.4442,5.82968,10.37483,6.26755,9.66327,3.54465,2.38314,4.3712,10.43482,4.64137,5.36184,9.75978,2.5533,3.61399,3.33623,7.30851,4.90155,0.31997,10.57311,5.37387,2.21503,0.78637,6.23223,4.88647,5.01219,5.01032,7.55072,7.53084,1.90136,8.20084,0.24386,1.9962,1.23999,0.62074,6.52293,2.41356,6.23378,5.0308,2.6171,6.74269,9.30033,plate1_1362562541.csv,Pass
R21043062,7.03409,5.99721,7.69744,1.99764,6.01368,-1.27824,5.79897,8.03231,8.37379,3.93698,7.01132,2.99173,1.6519,11.25022,4.66536,8.21856,9.30286,7.28092,2.42807,6.79465,9.76132,4.20116,1.00594,5.13887,3.71801,2.32812,0.10945,7.60966,7.4788,9.58901,7.57464,5.55133,0.78384,8.10985,8.03731,4.42425,0.61922,7.94211,9.97786,4.08556,5.29038,0.60742,8.71833,7.71761,7.01523,3.9673,6.50586,4.94117,7.53945,10.21832,0.82784,8.62123,6.00255,11.68399,6.27893,8.92888,2.82239,2.71856,3.8013,9.85397,4.25848,5.85456,10.46814,4.46535,3.14824,3.66849,7.26549,4.98721,4.87993,9.32454,5.47091,2.57049,1.23776,5.11746,4.873,4.48628,4.59143,7.48215,7.59798,1.87995,7.31245,0.26437,1.68436,1.13556,0.63616,11.22858,2.05103,4.71408,4.89732,2.28064,6.28418,9.46113,plate2_1362562385.csv,Pass
R21043064,5.36379,5.92163,7.13741,0.94356,6.17315,-2.26624,5.98904,8.7175,7.47819,3.52482,6.7747,2.01268,1.18254,10.60427,6.12186,9.02006,9.54095,7.49382,2.58793,7.77194,8.23463,3.66247,1.00925,4.67811,3.34378,1.78879,0.32453,7.44655,7.1751,8.93855,8.6637,5.0653,2.64124,8.1091,8.92351,4.21333,0.7521,8.27362,9.8593,4.44154,5.59615,0.48495,9.82447,7.48171,6.45581,3.70949,6.69066,4.45494,7.61729,10.64109,2.77489,7.84784,6.72665,10.43259,5.90296,10.33401,3.15032,2.8143,3.95063,9.34649,4.65198,5.66698,8.19775,3.23247,2.8675,3.43807,7.03186,5.04986,0.44507,9.4046,4.83013,1.61586,1.24904,5.23201,3.67649,5.76499,5.42941,6.86131,8.63109,1.74542,8.07288,0.05664,2.74415,1.79561,0.56337,6.82629,2.75804,5.85767,4.95843,2.30292,5.74199,9.11473,plate2_1362562385.csv,Pass
R21043066,5.31876,5.08574,7.26659,1.1328,5.91137,-2.34704,5.31453,8.48596,7.70145,3.5168,6.92219,2.33238,1.26814,10.48653,5.81667,8.94961,8.71927,7.02862,2.51274,7.87311,8.58025,4.31862,1.57393,4.63624,2.7195,1.51015,0.04234,7.42605,6.89903,9.30141,7.76357,5.22141,0.60038,8.54076,7.36548,4.51394,0.54762,8.26881,9.70945,4.22395,5.79212,0.36601,7.26973,6.85826,5.98119,3.87729,6.74491,4.42741,7.35846,10.26387,1.28456,7.84272,6.41007,11.6262,6.52049,9.14326,3.04823,2.3298,3.76571,9.69546,4.70581,5.62849,9.15193,2.5078,3.11025,3.43575,7.23768,5.00048,0.45759,8.48667,5.43013,3.16526,0.83537,4.75045,4.64998,3.98459,5.26427,6.60769,7.40746,1.94652,7.89847,0.16996,1.85482,1.1437,0.54579,5.92344,2.9918,5.50126,4.54891,2.59235,7.24316,9.51099,plate2_1362562385.csv,Pass
R21043068,7.87032,5.74842,6.85022,2.75228,8.24569,-1.6194,6.0898,9.84743,8.79877,4.70773,7.39824,5.01277,1.5841,10.79513,5.10522,9.50704,9.19244,6.25645,3.7599,9.25407,8.38082,5.37411,1.85677,5.3147,3.26492,2.14647,-0.36528,7.59921,7.14618,10.03616,9.16436,5.49176,0.67265,9.03536,9.52201,5.04129,0.43645,7.9789,10.36747,5.6133,4.91451,0.41076,8.91039,7.01253,6.97283,4.15112,6.60127,5.48436,7.50789,12.2263,0.4648,9.37877,6.56349,10.8912,5.00361,12.95193,4.02176,3.34424,3.54726,9.41828,4.30034,6.34979,9.69519,3.35078,2.35574,3.58919,6.57535,5.11216,5.22867,10.40676,4.86423,3.31493,0.79448,5.69626,4.79966,4.87397,4.9454,10.39052,9.08053,1.61905,7.05684,0.24974,2.37739,1.64679,0.79631,8.6349,2.48066,5.81714,4.97925,2.09287,7.01244,9.63898,plate2_1362562385.csv,Pass
R21043070,6.08454,5.80639,7.42262,3.37913,5.34235,1.13052,5.70668,7.71228,7.45302,3.26751,6.70917,2.79467,1.8897,10.83436,4.5525,8.09921,8.63115,7.33975,1.8981,8.31108,8.65897,3.53073,2.74759,4.12651,2.95859,1.8551,-0.49345,7.4223,7.38011,9.20416,7.84542,4.24374,1.11581,7.69321,8.11867,4.08178,0.48459,8.04525,9.25643,3.29576,5.22694,0.2806,8.67898,7.3829,5.30555,3.93039,6.70274,4.38122,7.33519,10.7565,0.40127,8.47948,5.90158,10.06549,6.03005,9.77675,3.06739,2.36712,3.28092,9.96668,4.25828,4.98727,9.50955,1.43338,2.88224,3.23352,7.34277,5.03872,4.01554,8.41183,5.04942,2.83234,0.62554,5.53749,4.66881,3.80075,4.7277,8.09597,8.31113,1.67875,7.49132,-0.12083,2.09046,1.41599,0.20854,6.85079,2.8315,4.77962,4.6551,2.23716,7.13373,9.39603,plate1_1362562541.csv,Pass
R21043072,5.9819,5.45453,7.2028,1.40937,6.71454,-2.57535,5.98241,9.12633,8.29498,4.12684,6.93002,1.8128,1.02526,10.51733,5.03679,8.92952,9.09754,7.81436,3.25035,7.57484,8.61504,3.23077,1.96545,4.46449,3.26814,1.86108,-0.32488,7.36364,7.25015,9.72738,7.57837,4.83985,-0.02705,8.29896,8.94031,3.86331,0.34889,8.36167,9.73925,4.36666,5.11749,0.46588,8.26216,7.62759,6.70043,3.93654,6.80139,4.82166,7.20578,10.44267,0.44948,8.39423,6.26192,10.43421,6.13285,9.65536,2.78031,3.24016,3.42842,9.7092,4.22827,5.59739,5.46344,2.12112,3.09845,3.33736,6.87628,5.62063,3.59368,12.18514,5.21239,2.06978,0.86576,4.7665,4.03176,4.54028,4.86325,6.92932,8.43231,1.47065,7.86671,0.00354,1.90984,1.78139,0.24754,7.34229,2.15604,6.07892,4.09367,2.11051,7.28799,9.2822,plate2_1362562385.csv,Pass
R21043074,4.67641,5.86777,7.13137,2.31942,5.84198,-2.57641,5.72689,7.67957,7.28946,3.48709,7.16671,2.6302,1.16563,11.24592,4.77514,8.56074,8.50444,7.92822,2.01218,7.7945,8.8545,3.23537,1.43034,3.99122,3.64672,1.64799,-0.17606,7.83844,7.63675,9.1602,7.76995,4.56814,1.1169,7.89916,8.24169,4.39387,0.58132,8.23561,9.57695,3.79595,6.27114,0.56983,8.26237,7.60698,7.03944,3.79567,6.60443,4.73525,7.61446,9.31802,0.73357,8.41884,6.36911,10.20517,6.18156,10.408,2.99408,2.95215,3.68987,9.76312,4.23456,6.15496,9.07582,2.42126,3.19465,3.44835,7.04031,5.01309,3.82689,8.58511,5.46615,2.68859,1.07874,6.23584,4.22128,3.90918,4.61947,7.9665,7.68616,1.40799,7.68042,0.05253,1.90815,1.63438,0.39435,7.40676,3.13429,5.29372,4.76918,2.06166,6.48822,9.55519,plate1_1362562541.csv,Pass
R21043076,6.30003,5.19503,7.13239,2.22882,7.75541,-2.49257,6.01879,10.10447,8.73714,4.64087,6.86847,2.67175,1.07587,10.48937,5.32167,9.10114,10.15498,7.54342,3.45363,8.12323,8.06843,3.52836,0.00757,4.94276,3.24564,1.61084,-0.35189,7.19028,7.0885,9.53425,7.7746,5.17461,1.4393,8.72949,8.99991,3.82217,0.60978,8.45139,10.16698,3.36359,5.59638,0.55278,7.55459,6.12776,5.94864,4.40699,6.62736,4.66721,7.73855,12.04355,0.9947,8.39672,6.74678,10.55331,6.23634,9.33228,3.15527,2.48427,3.84957,9.55435,4.5806,5.15699,9.84484,1.78595,2.75052,3.30548,6.907,4.77042,3.69077,10.25119,4.90998,5.16365,1.23156,5.3654,4.2787,4.62668,5.082,10.60609,7.92059,1.80638,7.80516,0.15759,1.73307,1.01941,-0.79013,7.31674,2.40087,5.32666,4.73788,2.00336,6.26694,9.12032,plate2_1362562385.csv,Pass
R21043078,5.52809,5.88327,7.51772,1.87359,4.68334,-2.1881,5.82672,7.41193,8.293,3.50114,6.9154,1.98039,1.36292,10.78516,5.44612,8.50372,8.66115,7.41284,1.61735,8.03668,8.37994,4.46024,1.09978,4.9204,3.39792,1.8538,-0.0816,7.70313,7.34755,9.20781,7.43912,5.29297,1.17589,7.7957,7.69856,3.50474,0.67126,8.3518,9.75627,4.65816,5.7974,0.4224,8.10671,7.45539,5.43822,3.74664,6.38143,4.27114,7.78846,9.81473,1.61335,8.35174,6.45447,10.12565,6.10988,9.61387,3.4177,2.60383,4.02083,9.44217,4.7451,4.92089,7.8186,4.20191,3.14183,3.61396,7.10716,4.92683,0.37405,7.76281,4.92566,3.73032,0.80188,5.46905,4.07328,4.82673,5.07409,7.59195,8.14329,2.31532,7.35853,0.19486,2.18284,1.74654,0.76875,5.95483,2.27678,5.66258,4.54796,2.63302,7.06018,9.39079,plate2_1362562385.csv,Pass
